名称,时间
关于给予王鑫通和程亚奥同学退学处理的公示,2021 09-28
关于查询2021年上半年全国大学英语四六级成绩报告单的通知,2021 09-27
关于教学安排调整的通知,2021 09-27
关于做好2021年下半年全国大学英语四、六级考试报名的通知,2021 09-15
关于对实验室安全隐患进行整改的通知,2021 08-20
关于调整夏季学期线下集中实习为线上教学的通知,2021 08-11
关于动态调整夏季学期实习安排的通知,2021 08-03
关于做好2021年下半年全国计算机等级考试有关工作的通知,2021 09-19
关于2021-2022学年秋季学期在线开放课程修读与学分认定的通知,2021 09-19
关于公布2021-2022学年秋季学期重修安排的通知,2021 09-19
关于2021-2022学年秋季学期网络选修课程开课的通知,2021 09-13
关于做好2021级新生学籍信息核查工作的通知,2021 09-13
关于加强全国计算机等级考试防护与组考的通知,2021 09-11
关于2021-2022学年秋季学期补选课的通知,2021 09-05
关于公布2021-2022学年秋季学期补（缓）考安排的通知,2021 09-01
关于2021-2022学年秋季学期教材发放的通知,2021 08-31
关于2021级 “鲁班班”、 “地震仪器协同实验班”、“会计学实验班”学生选拔结果的公示,2021 08-27
关于查询2021年上半年全国大学英语四、六级考试成绩的通知,2021 08-24
防灾科技学院关于2021年河北省普通本科院校教学名师和优秀教学团队推荐结果的公示,2021 07-22
防灾科技学院2021年度拟新增本科专业公示,2021 07-22
