价格,名字,店铺名,评论数
6488.00,Apple 苹果 iPhone 13 全网通5G手机 午夜黑 128G【碎屏险套餐】,顺为手机专营店,64
6799.00,Apple iPhone 13 (A2634) 256GB 蓝色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+
5599.00,Apple iPhone 12 (A2404) 128GB 白色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,200万+
6799.00,Apple iPhone 13 (A2634) 256GB 午夜色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+
5999.00,Apple iPhone 13 (A2634) 128GB 午夜色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+
5599.00,Apple iPhone 12 (A2404) 128GB 黑色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,200万+
9788.00,Apple 苹果 iPhone 13Pro 全网通5G手机 远峰蓝 256G【碎屏险套餐】,顺为手机专营店,100+
5599.00,Apple iPhone 12 (A2404) 128GB 绿色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,200万+
5999.00,Apple iPhone 13 (A2634) 128GB 蓝色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+
5599.00,Apple iPhone 12 (A2404) 128GB 紫色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,200万+
4599.00,京品手机	Apple iPhone 11 (A2223) 128GB 白色 移动联通电信4G手机 双卡双待,Apple产品京东自营旗舰店,500万+
6799.00,Apple iPhone 13 (A2634) 256GB 星光色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+
11299.00,Apple 苹果 iPhone 13 pro max全网通5G手机 远峰蓝色 256GB【碎屏险套餐】,顺为手机专营店,81
4599.00,京品手机	Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待,Apple产品京东自营旗舰店,500万+
5999.00,Apple iPhone 13 (A2634) 128GB 红色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+
6799.00,Apple iPhone 13 (A2634) 256GB 红色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+
8399.00,Apple iPhone 13 (A2634) 512GB 星光色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+
6799.00,Apple iPhone 13 (A2634) 支持移动联通电信5G 双卡双待手机 午夜色 256GB官网标配,Apple丰年时代专卖店,200+
6699.00,Apple 苹果12 iPhone 12 5G手机（苹果13 京东白条12期分期可选）下单尊享豪礼 绿色 全网通 5G版 256G,久汇通手机旗舰店,5000+
8399.00,Apple iPhone 13 (A2634) 512GB 午夜色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+
8399.00,Apple iPhone 13 (A2634) 512GB 粉色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+
5599.00,Apple iPhone 12 (A2404) 128GB 蓝色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,200万+
11699.00,Apple 苹果 iPhone 13 Pro Max（A2644）全网通5G手机 256G 远峰蓝色（享一年延保） 套装二：搭配 20W原装闪充,京东之家官方旗舰店,500+
8399.00,Apple iPhone 13 (A2634) 512GB 红色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+
11198.00,Apple 苹果 iPhone 13 Pro Max (A2644) 双卡双待 5G手机 远峰蓝色 全网通 256GB(季度碎屏险套装),鹏瑶旗舰店,4
8399.00,Apple iPhone 13 (A2634) 512GB 蓝色 支持移动联通电信5G 双卡双待手机,Apple产品京东自营旗舰店,10万+
6569.00,Apple iPhone 13 (A2634) 全网通5G 手机 双卡双待 A15芯片 蓝色 128G【原配20W闪充+红包+退换无忧】,Apple嘉世优品专卖店,500+
5999.00,Apple iPhone 13 mini (A2629) 256GB 蓝色 手机 支持移动联通电信5G ,Apple产品京东自营旗舰店,1万+
9999.00,Apple 苹果 iPhone 13 Pro（A2639）全网通5G手机 256G 远峰蓝色（享一年延保） 套装二：搭配 20W原装闪充,京东之家官方旗舰店,1000+
6798.00,Apple 苹果 iPhone 13 (A2634)  支持移动联通电信5G 双卡双待手机 128GB 粉色 官方标配【碎屏险+晒单20元红包】,茄子手机旗舰店,100+
