名字,基本信息,分数,评价人数
灵媒 / 萨满(台) / 凶灵祭(港),2021-07-14(韩国) / 纳瑞拉·库尔蒙科尔佩特 / 萨尼·乌托玛 / 邦松·纳卡普 / Sirani Yankittikan / 亚沙卡·柴松 / 泰国 / 韩国 / 班庄·比辛达拿刚 / 130分钟 / 灵媒 / 恐怖 / 罗泓轸 Hong-jin Na / 班庄·比辛达拿刚 Banjong Pisanthanakun / 泰语,6.4,(97079人评价)
致命感应 / 恶煞(港) / 疾厄(台),2021-09-01(法国) / 2021-09-10(美国) / 安娜贝拉·沃丽丝 / 麦蒂·哈森 / 吴宇卫 / 米歇尔·沃特 / 麦肯娜·格瑞丝 / 珍·路易莎·凯利 / 苏珊娜·汤姆森 / 杰克·阿贝尔 / 杰奎琳·麦根斯 / 克里斯蒂安·克莱门松 / 梅塞德斯·科隆 / 英格丽·比苏...,6.8,(49664人评价)
老去 / 诡老(台) / 归老(豆友译名),2021-07-21(法国) / 2021-07-23(美国) / 盖尔·加西亚·贝纳尔 / 薇姬·克里普斯 / 卢夫斯·塞维尔 / 亚历克斯·沃尔夫 / 托马辛·麦肯齐 / 阿比·丽 / 妮基·阿姆卡-伯德 / 肯·梁 / 伊莱扎·斯坎伦 / 亚伦·皮埃尔 / 艾伯丝·戴维兹 / 埃蒙·埃利奥特...,6.3,(15343人评价)
密室逃生2 / 密室逃杀2 / 密室逃杀: 幸存者游戏(港),2021-07-16(美国) / 泰勒·拉塞尔 / 洛根·米勒 / 霍兰·罗登 / 茵蒂娅·摩尔 / 托马斯·康奎尔 / 伊莎贝拉·弗尔曼 / 詹姆斯·弗莱恩 / 卡利托·奥利维罗 / 杰米-李·蒙尼 / 坦娅·范·格拉恩 / 阿维亚娜·亚伯拉罕 / 杰米斯·巴特勒 / 杰伊·欧文...,6.6,(32244人评价)
糖果人 / 糖魔怪客(港),2021-08-27(美国) / 叶海亚·阿卜杜勒-迈丁 / 泰柔娜·派丽丝 / 内森·斯图尔特-贾瑞特 / 科尔曼·多明戈 / 凯尔·卡明斯基 / 瓦妮莎·威廉姆斯 / 布莱恩·金 / 米里亚姆·莫斯 / 瑞贝卡·斯宾塞 / 卡尔·克莱蒙斯-霍普金斯 / 马力克·怀特 /...,5.4,(5784人评价)
犬之力 / 犬山记,2021-09-02(威尼斯电影节) / 2021-11-17(美国) / 2021-12-01(美国网络) / 本尼迪克特·康伯巴奇 / 克斯汀·邓斯特 / 杰西·普莱蒙 / 柯蒂·斯密特-麦菲 / 托马辛·麦肯齐 / 基思·卡拉丹 / 弗兰西丝·康罗伊 / 吉娜维夫·莱蒙 / 肖恩·基南 / 科恩·霍洛维...,7.5,(6370人评价)
地陷 / 天坑(台) / 危楼深渊(港),2021-08-11(韩国) / 车胜元 / 金成钧 / 李光洙 / 南多凛 / 高昌锡 / 金惠濬 / 罗哲 / 韩国 / 金志勋 / 113分钟 / 地陷 / 剧情 / 灾难 / 全哲洪 Cheol-Hong Jeon / 韩语,5.7,(7155人评价)
花束般的恋爱 / 她和他的恋爱花期(港) / Hanataba mitaina koi o shita,2021-01-29(日本) / 菅田将晖 / 有村架纯 / 细田佳央太 / 清原果耶 / 小田切让 / 押井守 / 户田惠子 / 岩松了 / 小林薰 / 韩英惠 / 泷内公美 / 森优作 / 古川琴音 / 八木亚里纱 / 佐藤宽太 / 冈部崇 / 萩原实里 / 福山翔大 / 萩原利久 / 片山友希...,8.7,(105196人评价)
兔子暴力 / The Old Town Girls / 兎たちの暴走,2020-11-01(东京电影节) / 2021-08-14(中国大陆) / 万茜 / 李庚希 / 黄觉 / 潘斌龙 / 是安 / 柴烨 / 周子越 / 俞更寅 / 方励 / 耐安 / 高华阳 / 姬云潇 / 中国大陆 / 申瑜 / 104分钟(东京电影节) / 106分钟 / 剧情 / 犯罪 / 家庭 / 申瑜 Yu Shen / 邱玉洁...,5.9,(42190人评价)
罪人 / 罪人美国版 / 接线追缉(港/台),2021-09-11(多伦多电影节) / 2021-10-01(美国网络) / 杰克·吉伦哈尔 / 伊桑·霍克 / 丽莉·吉欧 / 彼得·萨斯加德 / 保罗·达诺 / 克里斯蒂娜·怀道尔 / 伊莱·格里 / 达明·乔伊·伦道夫 / 大卫·卡斯塔尼达 / 阿德里安·马丁斯 / 贝基·吴 / 博·纳普...,6.5,(5714人评价)
